,ASX code,Company name,GICs industry group,Listing date,Market Cap
322,BLY.AX,BOART LONGYEAR GROUP LTD,Materials,05/04/2007,500105500
323,BLZ.AX,BLAZE MINERALS LIMITED,Energy,12/09/1996,11437706
324,BM8.AX,BATTERY AGE MINERALS LTD,Materials,04/11/2020,34634922
325,BME.AX,BLACK MOUNTAIN ENERGY LTD,Energy,23/12/2021,8047708
326,BMG.AX,BMG RESOURCES LIMITED,Materials,12/05/2004,7081667
327,BMH.AX,BAUMART HOLDINGS LIMITED,Capital Goods,19/06/2015,14474476
328,BML.AX,BOAB METALS LIMITED,Materials,15/07/2004,28786357
329,BMM.AX,BALKAN MINING AND MINERALS LIMITED,Materials,14/07/2021,12825123
330,BMN.AX,BANNERMAN ENERGY LTD,Energy,28/04/2005,241569609
331,BMO.AX,BASTION MINERALS LIMITED,Materials,16/03/2021,4463524
332,BMR.AX,BALLYMORE RESOURCES LIMITED,Materials,03/09/2021,19736631
333,BMT.AX,BEAMTREE HOLDINGS LIMITED,Health Care Equipment & Services,06/06/2019,65130296
334,BNL.AX,BLUE STAR HELIUM LIMITED,Energy,24/11/1994,34895741
335,BNO.AX,BIONOMICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",21/12/1999,26437238
336,BNR.AX,BULLETIN RESOURCES LIMITED,Materials,20/12/2010,17028284
337,BNZ.AX,BENZ MINING CORP.,Materials,23/12/2020,78031186
338,BOA.AX,BOADICEA RESOURCES LIMITED,Materials,11/10/2012,3838950
339,BOC.AX,BOUGAINVILLE COPPER LIMITED,Materials,31/12/1970,150398438
340,BOD.AX,BOD SCIENCE LIMITED,Consumer Discretionary Distribution & Retail,27/10/2016,7196710
341,BOE.AX,BOSS ENERGY LTD,Energy,25/07/2007,1100046049
342,BOL.AX,BOOM LOGISTICS LIMITED,Capital Goods,14/10/2003,49194034
343,BOQ.AX,BANK OF QUEENSLAND LIMITED.,Banks,24/08/1971,3621268045
344,BOT.AX,BOTANIX PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",24/01/1985,137721635
345,BP8.AX,BPH GLOBAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences",13/06/2000,3854189
346,BPH.AX,BPH ENERGY LTD,Financial Services,06/08/2004,17674474
347,BPM.AX,BPM MINERALS LIMITED,Materials,30/12/2020,4947916
348,BPP.AX,BABYLON PUMP & POWER LIMITED,Capital Goods,13/12/1996,14746628
349,BPT.AX,BEACH ENERGY LIMITED,Energy,30/06/1972,3125427109
350,BRG.AX,BREVILLE GROUP LIMITED,Consumer Durables & Apparel,25/05/1999,2752824717
351,BRI.AX,BIG RIVER INDUSTRIES LIMITED,Materials,01/05/2017,191764352
352,BRK.AX,BROOKSIDE ENERGY LIMITED,Energy,31/10/2005,65189093
353,BRL.AX,BATHURST RESOURCES LIMITED.,Materials,21/06/2013,177007797
354,BRN.AX,BRAINCHIP HOLDINGS LTD,Software & Services,09/11/2011,630145641
355,BRU.AX,BURU ENERGY LIMITED,Energy,01/09/2008,51259705
356,BRX.AX,BELARAROX LIMITED,Materials,28/01/2022,19925507
357,BSA.AX,BSA LIMITED,Commercial & Professional Services,15/11/1999,42905388
358,BSE.AX,BASE RESOURCES LIMITED,Materials,02/10/2008,200262015
359,BSL.AX,BLUESCOPE STEEL LIMITED,Materials,15/07/2002,9344726122
360,BSN.AX,BASIN ENERGY LIMITED,Energy,04/10/2022,11372158
361,BST.AX,BEST & LESS GROUP HOLDINGS LTD,Consumer Discretionary Distribution & Retail,26/07/2021,236316663
362,BSX.AX,BLACKSTONE MINERALS LIMITED,Materials,23/01/2017,59211114
363,BTC.AX,BTC HEALTH LTD,Not Applic,29/08/2000,5636927
364,BTE.AX,BOTALA ENERGY LTD,Energy,14/07/2022,14980855
365,BTH.AX,BIGTINCAN HOLDINGS LIMITED,Software & Services,24/03/2017,297554014
366,BTI.AX,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,Financial Services,21/11/2014,166599569
367,BTN.AX,BUTN LIMITED,Financial Services,06/07/2021,38433906
368,BTR.AX,BRIGHTSTAR RESOURCES LIMITED,Materials,05/12/2003,18888183
369,BUB.AX,BUBS AUSTRALIA LIMITED,"Food, Beverage & Tobacco",05/10/1993,135244333
370,BUD.AX,BUDDY TECHNOLOGIES LTD,Consumer Durables & Apparel,18/12/2006,SUSPENDED
371,BUR.AX,BURLEY MINERALS LTD,Materials,07/07/2021,20259351
372,BUS.AX,BUBALUS RESOURCES LIMITED,Materials,13/10/2022,5217571
373,BUX.AX,BUXTON RESOURCES LIMITED,Materials,23/10/2007,29117357
374,BUY.AX,BOUNTY OIL & GAS NL,Energy,05/02/2002,10964008
375,BVR.AX,BELLAVISTA RESOURCES LTD,Materials,25/05/2022,9690443
376,BVS.AX,BRAVURA SOLUTIONS LIMITED.,Software & Services,16/11/2016,206242841
377,BWF.AX,BLACKWALL LIMITED,Financial Services,21/10/2011,35764526
378,BWP.AX,BWP TRUST,Equity Real Estate Investment Trusts (REITs),16/09/1998,2331853205
379,BWX.AX,BWX LIMITED,Household & Personal Products,11/11/2015,SUSPENDED
380,BXB.AX,BRAMBLES LIMITED,Commercial & Professional Services,27/11/2006,19700331514
381,BXN.AX,BIOXYNE LIMITED,Household & Personal Products,14/12/2000,41836199
382,BYE.AX,BYRON ENERGY LIMITED,Energy,03/06/2005,77860447
383,BYH.AX,BRYAH RESOURCES LIMITED,Materials,17/10/2017,4782742
384,C1X.AX,COSMOS EXPLORATION LIMITED,Materials,01/12/2021,24513750
385,C29.AX,C29 METALS LIMITED,Materials,03/11/2021,4461856
386,C79.AX,CHRYSOS CORPORATION LIMITED,Commercial & Professional Services,06/05/2022,477841358
387,C7A.AX,CLARA RESOURCES AUSTRALIA LTD,Materials,21/10/2010,6614899
388,CAA.AX,CAPRAL LIMITED,Materials,20/11/1986,127077090
389,CAE.AX,CANNINDAH RESOURCES LIMITED,Materials,20/05/2005,87106893
390,CAF.AX,CENTREPOINT ALLIANCE LIMITED,Financial Services,25/06/2002,42329606
391,CAG.AX,CAPE RANGE LTD,Software & Services,30/11/2017,9490830
392,CAI.AX,CALIDUS RESOURCES LIMITED,Materials,13/03/1987,94814068
393,CAJ.AX,CAPITOL HEALTH LIMITED,Health Care Equipment & Services,09/06/2006,292468698
394,CAM.AX,CLIME CAPITAL LIMITED,Not Applic,03/02/2004,116260337
395,CAN.AX,CANN GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",04/05/2017,46633784
396,CAQ.AX,CAQ HOLDINGS LIMITED,Real Estate Management & Development,25/07/2005,7895649
397,CAR.AX,CARSALES.COM LIMITED.,Media & Entertainment,10/09/2009,8857005690
398,CAT.AX,CATAPULT GROUP INTERNATIONAL LTD,Technology Hardware & Equipment,19/12/2014,233075279
399,CAV.AX,CARNAVALE RESOURCES LIMITED,Materials,15/03/2007,5467103
400,CAY.AX,CANYON RESOURCES LIMITED,Materials,15/06/2010,72119422
401,CAZ.AX,CAZALY RESOURCES LIMITED,Materials,31/10/2003,14501050
402,CBA.AX,COMMONWEALTH BANK OF AUSTRALIA.,Banks,12/09/1991,168686729911
403,CBE.AX,COBRE LIMITED,Materials,31/01/2020,20657592
404,CBH.AX,COOLABAH METALS LIMITED,Materials,28/07/2022,5416400
405,CBL.AX,CONTROL BIONICS LIMITED,Health Care Equipment & Services,07/12/2020,7962154
406,CBO.AX,COBRAM ESTATE OLIVES LIMITED,"Food, Beverage & Tobacco",11/08/2021,496848961
407,CBR.AX,CARBON REVOLUTION LIMITED,Automobiles & Components,29/11/2019,27579826
408,CBY.AX,CANTERBURY RESOURCES LIMITED,Materials,07/03/2019,3613088
409,CCA.AX,CHANGE FINANCIAL LIMITED,Financial Services,30/06/2016,23851133
410,CCE.AX,CARNEGIE CLEAN ENERGY LIMITED,Utilities,26/10/1993,15642574
411,CCG.AX,COMMS GROUP LTD,Telecommunication Services,21/12/2017,26703521
412,CCO.AX,THE CALMER CO INTERNATIONAL LIMITED,Household & Personal Products,20/12/2018,1334333
413,CCP.AX,CREDIT CORP GROUP LIMITED,Financial Services,04/09/2000,1317774332
414,CCR.AX,CREDIT CLEAR LIMITED,Software & Services,27/10/2020,77907027
415,CCV.AX,CASH CONVERTERS INTERNATIONAL,Financial Services,07/02/1997,141197628
416,CCX.AX,CITY CHIC COLLECTIVE LIMITED,Consumer Discretionary Distribution & Retail,28/05/1998,75398584
417,CCZ.AX,CASTILLO COPPER LIMITED,Materials,14/12/2010,10396043
418,CD1.AX,CD PRIVATE EQUITY FUND I,Not Applic,14/08/2012,30337479
419,CD2.AX,CD PRIVATE EQUITY FUND II,Not Applic,09/04/2013,66910835
420,CD3.AX,CD PRIVATE EQUITY FUND III,Not Applic,27/07/2016,108042630
421,CDA.AX,CODAN LIMITED,Technology Hardware & Equipment,27/11/2003,1340643896
422,CDD.AX,CARDNO LIMITED,Commercial & Professional Services,20/05/2004,15819569
423,CDM.AX,CADENCE CAPITAL LIMITED,Not Applic,05/12/2006,220358533
424,CDO.AX,CADENCE OPPORTUNITIES FUND LIMITED.,Not Applic,19/11/2021,27941488
425,CDP.AX,CARINDALE PROPERTY TRUST,Equity Real Estate Investment Trusts (REITs),28/11/1996,313480013
426,CDR.AX,CODRUS MINERALS LIMITED,Materials,23/06/2021,6637840
427,CDT.AX,CASTLE MINERALS LIMITED,Materials,02/05/2006,13493916
428,CDX.AX,CARDIEX LIMITED,Health Care Equipment & Services,09/11/2005,25823794
429,CE1.AX,CALIMA ENERGY LIMITED,Energy,28/07/2006,SUSPENDED
430,CEL.AX,CHALLENGER GOLD LIMITED,Materials,07/11/2007,117827601
431,CEN.AX,CONTACT ENERGY LIMITED,Utilities,24/09/2015,5683135407
432,CF1.AX,COMPLII FINTECH SOLUTIONS LTD,Software & Services,18/12/2001,20331225
433,CFO.AX,CFOAM LIMITED,Capital Goods,26/10/2016,SUSPENDED
434,CG1.AX,CARBONXT GROUP LIMITED,Materials,23/01/2018,22299209
435,CGB.AX,CANN GLOBAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",14/01/2008,SUSPENDED
436,CGC.AX,COSTA GROUP HOLDINGS LIMITED,"Food, Beverage & Tobacco",24/07/2015,1296540322
437,CGF.AX,CHALLENGER LIMITED,Financial Services,23/12/2003,4462614607
438,CGO.AX,CPT GLOBAL LIMITED,Software & Services,08/09/2000,11102802
439,CGS.AX,COGSTATE LTD,Health Care Equipment & Services,13/02/2004,296119811
440,CHC.AX,CHARTER HALL GROUP,Equity Real Estate Investment Trusts (REITs),10/06/2005,5089449861
441,CHK.AX,COHIBA MINERALS LIMITED,Materials,01/02/2012,6339733
442,CHL.AX,CAMPLIFY HOLDINGS LIMITED,Transportation,28/06/2021,143648065
443,CHM.AX,CHIMERIC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",18/01/2021,17311680
444,CHN.AX,CHALICE MINING LIMITED,Materials,24/03/2006,2522808317
445,CHR.AX,CHARGER METALS NL,Materials,09/07/2021,23292888
446,CHZ.AX,CHESSER RESOURCES LIMITED,Materials,29/05/2007,64746148
447,CI1.AX,CREDIT INTELLIGENCE LTD,Commercial & Professional Services,10/07/2008,9184908
448,CIA.AX,CHAMPION IRON LIMITED,Materials,08/06/2007,3123846481
449,CII.AX,CI RESOURCES LIMITED,Materials,24/07/1987,--
450,CIN.AX,CARLTON INVESTMENTS LIMITED,Not Applic,30/06/1970,754528238
451,CIO.AX,CONNECTED IO LIMITED,Technology Hardware & Equipment,16/08/1984,SUSPENDED
452,CIP.AX,CENTURIA INDUSTRIAL REIT,Equity Real Estate Investment Trusts (REITs),13/12/2012,1993682194
453,CIW.AX,CLIME INVESTMENT MANAGEMENT LTD,Financial Services,15/12/2000,28621805
454,CKA.AX,COKAL LIMITED,Materials,17/04/2000,129473878
455,CKF.AX,COLLINS FOODS LIMITED,Consumer Services,04/08/2011,966737993
456,CL8.AX,CARLY HOLDINGS LIMITED,Transportation,09/09/1996,5596149
457,CLA.AX,CELSIUS RESOURCES LIMITED.,Materials,24/03/1988,53065240
458,CLB.AX,CANDY CLUB HOLDINGS LIMITED,Consumer Staples Distribution & Retail,19/02/2019,SUSPENDED
459,CLE.AX,CYCLONE METALS LIMITED,Materials,07/06/2001,15396757
460,CLG.AX,CLOSE THE LOOP LTD.,Commercial & Professional Services,02/12/2021,221682433
461,CLT.AX,CELLNET GROUP LIMITED,Technology Hardware & Equipment,17/11/1999,6333460
462,CLU.AX,CLUEY LTD,Consumer Services,09/12/2020,19758130
463,CLV.AX,CLOVER CORPORATION LIMITED,Materials,30/11/1999,202069203
464,CLW.AX,CHARTER HALL LONG WALE REIT,Equity Real Estate Investment Trusts (REITs),08/11/2016,2949658301
465,CLX.AX,CTI LOGISTICS LIMITED,Transportation,02/12/1987,124069447
466,CLZ.AX,CLASSIC MINERALS LTD,Materials,24/05/2013,7013882
467,CMD.AX,CASSIUS MINING LIMITED,Materials,10/08/2006,12914933
468,CMG.AX,CRITICAL MINERALS GROUP LIMITED,Materials,27/09/2022,9256800
469,CMM.AX,CAPRICORN METALS LTD,Materials,07/07/2008,1582783917
470,CMO.AX,COSMO METALS LIMITED,Materials,31/01/2022,5460131
471,CMP.AX,COMPUMEDICS LIMITED,Health Care Equipment & Services,21/12/2000,29231886
472,CMW.AX,CROMWELL PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),22/02/1973,1348716350
473,CMX.AX,CHEMX MATERIALS LIMITED,Materials,18/01/2022,9277174
474,CNB.AX,CARNABY RESOURCES LIMITED,Materials,30/08/2016,169264510
475,CNI.AX,CENTURIA CAPITAL GROUP,Equity Real Estate Investment Trusts (REITs),26/03/2002,1279674870
476,CNJ.AX,CONICO LTD,Materials,18/06/2007,12560760
477,CNQ.AX,CLEAN TEQ WATER LIMITED,Commercial & Professional Services,02/07/2021,15004677
478,CNU.AX,CHORUS LIMITED,Telecommunication Services,21/11/2011,3352074172
479,CNW.AX,CIRRUS NETWORKS HOLDINGS LIMITED,Software & Services,10/02/2004,29760204
480,COB.AX,COBALT BLUE HOLDINGS LIMITED,Materials,02/02/2017,94364670
481,COD.AX,CODA MINERALS LTD,Materials,28/10/2020,30132022
482,COE.AX,COOPER ENERGY LIMITED,Energy,13/03/2002,434202658
483,COF.AX,CENTURIA OFFICE REIT,Equity Real Estate Investment Trusts (REITs),10/12/2014,833285019
484,COG.AX,COG FINANCIAL SERVICES LIMITED,Financial Services,28/01/2003,263113837
485,COH.AX,COCHLEAR LIMITED,Health Care Equipment & Services,04/12/1995,15522449806
486,COI.AX,COMET RIDGE LIMITED,Energy,16/04/2004,166711559
487,COL.AX,COLES GROUP LIMITED.,Consumer Staples Distribution & Retail,21/11/2018,24586252480
488,COO.AX,CORUM GROUP LIMITED,Software & Services,28/07/1971,21505744
489,COS.AX,COSOL LIMITED,Software & Services,24/01/2020,104043696
490,COY.AX,COPPERMOLY LIMITED,Materials,31/01/2008,6361523
491,CPM.AX,COOPER METALS LIMITED,Materials,19/11/2021,7168076
492,CPN.AX,CASPIN RESOURCES LIMITED,Materials,25/11/2020,22074098
493,CPO.AX,CULPEO MINERALS LIMITED,Materials,10/09/2021,4573081
494,CPT.AX,CIPHERPOINT LIMITED,Software & Services,03/01/2007,7247862
495,CPU.AX,COMPUTERSHARE LIMITED.,Commercial & Professional Services,27/05/1994,13861625555
496,CPV.AX,CLEARVUE TECHNOLOGIES LIMITED,Capital Goods,25/05/2018,35833340
497,CQE.AX,CHARTER HALL SOCIAL INFRASTRUCTURE REIT,Equity Real Estate Investment Trusts (REITs),22/05/2003,1079377171
498,CQR.AX,CHARTER HALL RETAIL REIT,Equity Real Estate Investment Trusts (REITs),15/11/1995,2109863481
499,CR1.AX,CONSTELLATION RESOURCES LIMITED,Materials,30/07/2018,5739124
500,CR9.AX,CORELLA RESOURCES LTD,Materials,15/01/2008,12092363
501,CRB.AX,CARBINE RESOURCES LIMITED,Materials,16/03/2007,SUSPENDED
502,CRD.AX,CONRAD ASIA ENERGY LTD.,Energy,27/10/2022,267790303
503,CRL.AX,COMET RESOURCES LIMITED,Materials,02/03/1994,SUSPENDED
504,CRM.AX,CARBON MINERALS LIMITED,Energy,31/12/1980,SUSPENDED
505,CRN.AX,CORONADO GLOBAL RESOURCES INC.,Materials,23/10/2018,2523062864
506,CRR.AX,CRITICAL RESOURCES LIMITED,Materials,03/12/2010,63790195
507,CRS.AX,CAPRICE RESOURCES LTD,Materials,05/12/2018,5020548
508,CSE.AX,COPPER STRIKE LIMITED,Materials,24/11/2004,SUSPENDED
509,CSF.AX,CATALANO SEAFOOD LTD,"Food, Beverage & Tobacco",11/03/2022,3445332
510,CSL.AX,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",08/06/1994,136023307909
511,CSR.AX,CSR LIMITED,Materials,31/03/1962,2472846981
512,CSS.AX,CLEAN SEAS SEAFOOD LIMITED,"Food, Beverage & Tobacco",12/12/2005,81917308
513,CST.AX,CASTILE RESOURCES LTD,Materials,14/02/2020,20077901
514,CSX.AX,CLEANSPACE HOLDINGS LIMITED,Health Care Equipment & Services,23/10/2020,15789002
515,CT1.AX,CONSTELLATION TECHNOLOGIES LIMITED,Technology Hardware & Equipment,08/10/1987,4413601
516,CTD.AX,CORPORATE TRAVEL MANAGEMENT LIMITED,Consumer Services,15/12/2010,2704099786
517,CTE.AX,CRYOSITE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",09/05/2002,30750025
518,CTM.AX,CENTAURUS METALS LIMITED,Materials,12/01/1989,394333105
519,CTN.AX,CATALINA RESOURCES LTD,Materials,18/02/2010,4953948
520,CTO.AX,CITIGOLD CORPORATION LIMITED,Materials,23/12/1993,14368295
521,CTP.AX,CENTRAL PETROLEUM LIMITED,Energy,07/03/2006,41567846
522,CTQ.AX,CARETEQ LIMITED,Health Care Equipment & Services,10/01/2022,6178297
523,CTT.AX,CETTIRE LIMITED,Consumer Discretionary Distribution & Retail,18/12/2020,914971728
524,CTV.AX,COLORTV LIMITED,Media & Entertainment,14/12/2017,SUSPENDED
525,CU6.AX,CLARITY PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",25/08/2021,196693674
526,CUE.AX,CUE ENERGY RESOURCES LIMITED,Energy,11/12/1995,41189063
527,CUF.AX,CUFE LTD,Materials,13/10/2005,10627236
528,CUL.AX,CULLEN RESOURCES LIMITED,Materials,23/11/1988,4538618
529,CUP.AX,COUNT LIMITED,Commercial & Professional Services,22/12/2010,59395731
530,CUS.AX,COPPER SEARCH LIMITED,Materials,15/09/2021,26370541
531,CUV.AX,CLINUVEL PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",13/02/2001,878021706
532,CVC.AX,CVC LIMITED,Financial Services,27/06/1985,281546067
533,CVL.AX,CIVMEC LIMITED,Capital Goods,22/06/2018,404105600
534,CVN.AX,CARNARVON ENERGY LIMITED,Energy,16/08/1984,225023363
535,CVR.AX,CAVALIER RESOURCES LIMITED,Materials,17/06/2022,5422708
536,CVV.AX,CARAVEL MINERALS LIMITED,Materials,03/11/2006,115004250
537,CVW.AX,CLEARVIEW WEALTH LIMITED,Insurance,11/12/2003,327214131
538,CWP.AX,CEDAR WOODS PROPERTIES LIMITED,Real Estate Management & Development,31/08/1994,398718194
539,CWX.AX,CARAWINE RESOURCES LIMITED,Materials,14/12/2017,21649921
540,CWY.AX,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services,03/05/2005,5765969655
541,CXL.AX,CALIX LIMITED,Materials,20/07/2018,679436880
542,CXM.AX,CENTREX LIMITED,Materials,19/07/2006,89101344
543,CXO.AX,CORE LITHIUM LTD,Materials,11/02/2011,1747005786
544,CXU.AX,CAULDRON ENERGY LIMITED,Energy,28/01/2005,6520981
545,CXX.AX,CRADLE RESOURCES LIMITED,Materials,16/09/2011,SUSPENDED
546,CXZ.AX,CONNEXION TELEMATICS LTD,Software & Services,01/01/1974,18378104
547,CY5.AX,CYGNUS METALS LIMITED,Materials,15/01/2018,47110957
548,CYC.AX,CYCLOPHARM LIMITED,Health Care Equipment & Services,18/01/2007,180557928
549,CYG.AX,COVENTRY GROUP LIMITED,Capital Goods,27/01/1966,96973671
550,CYL.AX,CATALYST METALS LIMITED,Materials,26/07/2006,134622814
551,CYM.AX,CYPRIUM METALS LIMITED,Materials,26/04/1985,SUSPENDED
552,CYP.AX,CYNATA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",20/12/2007,24250291
553,CYQ.AX,CYCLIQ GROUP LTD,Consumer Durables & Apparel,21/11/2007,2085100
554,CZN.AX,CORAZON MINING LIMITED,Materials,30/06/2005,11596281
555,CZR.AX,CZR RESOURCES LTD,Materials,29/08/2006,41253563
556,D2O.AX,DUXTON WATER LIMITED,Utilities,16/09/2016,196974519
557,DAF.AX,DISCOVERY ALASKA LIMITED,Materials,22/09/2011,6558572
558,DAL.AX,DALAROO METALS LTD,Materials,28/09/2021,4519150
559,DBF.AX,DUXTON FARMS LTD,"Food, Beverage & Tobacco",08/02/2018,55907914
560,DBI.AX,DALRYMPLE BAY INFRASTRUCTURE LIMITED,Transportation,08/12/2020,1328641268
561,DBO.AX,DIABLO RESOURCES LIMITED,Materials,12/10/2021,4023000
562,DC2.AX,DC TWO LIMITED,Software & Services,10/11/2020,2875754
563,DCC.AX,DIGITALX LIMITED,Software & Services,06/02/1989,31311800
564,DCG.AX,DECMIL GROUP LIMITED,Capital Goods,22/04/2005,26443877
565,DCL.AX,DOMACOM LIMITED,Financial Services,07/11/2016,16549067
566,DCN.AX,DACIAN GOLD LIMITED,Materials,14/11/2012,104644881
567,DCX.AX,DISCOVEX RESOURCES LIMITED,Materials,13/12/2007,6605136
568,DDB.AX,DYNAMIC GROUP HOLDINGS LIMITED,Capital Goods,06/08/2020,38347592
569,DDH.AX,DDH1 LIMITED,Materials,09/03/2021,348951275
570,DDR.AX,DICKER DATA LIMITED,Technology Hardware & Equipment,24/01/2011,1448520160
571,DDT.AX,DATADOT TECHNOLOGY LIMITED,Automobiles & Components,12/01/2005,3632858
572,DEG.AX,DE GREY MINING LIMITED,Materials,03/07/2002,2084157832
573,DEL.AX,DELOREAN CORPORATION LIMITED,Utilities,12/04/2021,SUSPENDED
574,DEM.AX,DE.MEM LIMITED,Utilities,07/04/2017,38002502
575,DES.AX,DESOTO RESOURCES LIMITED,Materials,16/12/2022,11563500
576,DEV.AX,DEVEX RESOURCES LIMITED,Energy,03/10/2000,116795251
577,DGH.AX,DESANE GROUP HOLDINGS LIMITED,Real Estate Management & Development,04/09/1987,36000791
578,DGL.AX,DGL GROUP LIMITED,Materials,24/05/2021,195164175
579,DGR.AX,DGR GLOBAL LIMITED,Materials,21/08/2003,37572965
580,DHG.AX,DOMAIN HOLDINGS AUSTRALIA LIMITED.,Media & Entertainment,16/11/2017,2179217178
581,DJW.AX,DJERRIWARRH INVESTMENTS LIMITED,Not Applic,28/06/1995,742559001
582,DKM.AX,DUKETON MINING LIMITED,Materials,04/08/2014,40900227
583,DLI.AX,DELTA LITHIUM LIMITED,Materials,03/11/2017,380018649
584,DLM.AX,DOMINION MINERALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",19/03/2004,7227216
585,DM1.AX,DESERT METALS LIMITED,Materials,18/12/2020,4352465
586,DMC.AX,DESIGN MILK CO LIMITED,Media & Entertainment,24/03/1997,SUSPENDED
587,DME.AX,DOME GOLD MINES LIMITED,Materials,22/10/2013,70642827
588,DMG.AX,DRAGON MOUNTAIN GOLD LIMITED,Materials,31/07/2007,4341388
589,DMM.AX,DMC MINING LIMITED.,Materials,22/12/2021,3151800
590,DMP.AX,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services,16/05/2005,3918195880
591,DNA.AX,DONACO INTERNATIONAL LIMITED,Consumer Services,23/12/2004,49415575
592,DNK.AX,DANAKALI LIMITED,Materials,17/10/2003,--
593,DOC.AX,DOCTOR CARE ANYWHERE GROUP PLC,Health Care Equipment & Services,04/12/2020,17603609
594,DOR.AX,DORIEMUS PLC,Energy,29/09/2017,SUSPENDED
595,DOU.AX,DOUUGH LIMITED,Telecommunication Services,15/06/2004,7871187
596,DOW.AX,DOWNER EDI LIMITED,Commercial & Professional Services,20/12/1990,2551979980
597,DRA.AX,DRA GLOBAL LIMITED,Capital Goods,09/07/2021,102339233
598,DRE.AX,DREADNOUGHT RESOURCES LTD,Materials,31/10/2006,176369596
599,DRO.AX,DRONESHIELD LIMITED,Capital Goods,22/06/2016,132283937
600,DRR.AX,DETERRA ROYALTIES LIMITED,Materials,23/10/2020,2378430482
601,DRX.AX,DIATREME RESOURCES LIMITED,Materials,22/06/2005,89514219
602,DSE.AX,DROPSUITE LIMITED,Software & Services,12/12/1985,193169786
603,DSK.AX,DUSK GROUP LIMITED,Consumer Discretionary Distribution & Retail,02/11/2020,54173043
604,DTC.AX,DAMSTRA HOLDINGS LIMITED,Software & Services,16/10/2019,17781051
605,DTI.AX,DTI GROUP LTD,Technology Hardware & Equipment,09/12/2014,6728271
606,DTL.AX,DATA#3 LIMITED,Software & Services,23/12/1997,1051274451
607,DTM.AX,DART MINING NL,Materials,10/05/2007,7408351
608,DTR.AX,DATELINE RESOURCES LIMITED,Materials,23/06/2011,25276867
609,DTZ.AX,DOTZ NANO LIMITED,Technology Hardware & Equipment,13/12/2007,102238976
610,DUB.AX,DUBBER CORPORATION LIMITED,Software & Services,30/06/2000,60361816
611,DUG.AX,DUG TECHNOLOGY LTD,Software & Services,12/08/2020,134070043
612,DUI.AX,DIVERSIFIED UNITED INVESTMENT LIMITED,Not Applic,19/12/1991,1064078380
613,DUN.AX,DUNDAS MINERALS LIMITED,Materials,10/11/2021,6406668
614,DUR.AX,DURATEC LIMITED,Capital Goods,04/11/2020,280623618
615,DVL.AX,DORSAVI LTD,"Pharmaceuticals, Biotechnology & Life Sciences",11/12/2013,6638531
616,DVP.AX,DEVELOP GLOBAL LIMITED,Materials,27/04/2007,623723799
617,DVR.AX,DIVERGER LIMITED,Financial Services,02/08/2005,30139282
618,DXB.AX,DIMERIX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",04/02/1993,23269390
619,DXC.AX,DEXUS CONVENIENCE RETAIL REIT,Equity Real Estate Investment Trusts (REITs),27/07/2017,347146539
620,DXI.AX,DEXUS INDUSTRIA REIT.,Equity Real Estate Investment Trusts (REITs),03/12/2013,843937966
621,DXN.AX,DXN LIMITED,Software & Services,11/04/2018,1721315
622,DXS.AX,DEXUS,Equity Real Estate Investment Trusts (REITs),06/10/2004,8529232401
623,DYL.AX,DEEP YELLOW LIMITED,Energy,19/12/1985,541786654
624,DYM.AX,DYNAMIC METALS LIMITED,Materials,16/01/2023,13960725
625,E25.AX,ELEMENT 25 LIMITED,Materials,09/11/2006,117951023
626,E33.AX,EAST 33 LIMITED..,"Food, Beverage & Tobacco",29/07/2021,10381774
627,E79.AX,E79 GOLD MINES LIMITED,Materials,07/10/2021,6600075
628,EAX.AX,ENERGY ACTION LIMITED,Commercial & Professional Services,13/10/2011,4992891
629,EBG.AX,EUMUNDI GROUP LIMITED,Consumer Services,07/12/1989,50239811
630,EBO.AX,EBOS GROUP LIMITED,Health Care Equipment & Services,06/12/2013,6357416705
631,EBR.AX,EBR SYSTEMS INC.,Health Care Equipment & Services,24/11/2021,265421859
632,ECF.AX,ELANOR COMMERCIAL PROPERTY FUND,Equity Real Estate Investment Trusts (REITs),06/12/2019,269072900
633,ECG.AX,ECARGO HOLDINGS LIMITED,Commercial & Professional Services,28/11/2014,7998250
634,ECL.AX,EXCELSIOR CAPITAL LTD,Capital Goods,22/04/1993,66687279
